recipe_id,veg_1,veg_2,veg_3,veg_4,veg_5,category
1483181,sweet potato,,,,,western
7542982,tomato,,green onion,garlic,,chinese
5626505,carrot,tomato,broccoli,,,western
7659476,cucumber,,,,,japanese
3683413,sweet potato,,,,,japanese
3595664,carrot,onion,tomato,potato,eggplant,western
7660306,onion,,carrot,,,chinese
7153729,broccoli,,,,,chinese
2963446,tomato,cabbage,,,,japanese
2708682,eggplant,,,,,western
77210,onion ,cabbage,,,,japanese
3920618,asparagus,,,,,western
3961776,tomato,,,,,japanese
2412853,chinese cabbage,,,,,japanese
7392927,chinese cabbage,,carrot,,,chinese
2679202,sweet potato,garlic,ginger,carrot,bell pepper,chinese
7040546,lettuce,,,,,chinese
7341243,pumpkin,asparagus,,,,western
4794126,radish,carrot,ginger,,,japanese
3372785,tomato,potato,,,,western
5234220,asparagus,,,,,chinese
6221584,onion ,,,,,japanese
3653262,onion,carrot,potato,,,western
7582984,tomato,ginger,green onion,cabbage,,chinese
280961,corn,onion,bell pepper,,,western
7605293,eggplant,garlic,long green onion,perilla,,chinese
4594569,onion,potato,onion,,,western
5615266,asparagus,cabbage,carrot,green onion,garlic,chinese
7011789,eggplant,,,,,chinese
7614341,radish,carrot,garlic,,,western
485608,potato,,,,,japanese
7329545,eggplant,tomato,bell pepper,onion,garlic,western
1277139,eggplant,,,,,japanese
5205906,eggplant,garlic,,,,western
4892353,chinese cabbage,,,,,japanese
6241078,carrot,,,,,western
120567,carrot,,,,,japanese
3905078,eggplant,cucumber,garlic,,,western
4783150,carrot,green onion,onion,,,japanese
4830735,lettuce,carrot,,,,western
2576107,broccoli,,,,,japanese
5950757,broccoli,tomato,onion,garlic,,western
6014359,potato,garlic, leaves,radish leaves,,chinese
2840771,eggplant,,,,,japanese
1073620,onion,potato,ginger,carrot,,western
4081024,asparagus,eggplant,Okra,garlic,ginger,chinese
7608128,tomato,,,,,chinese
6960687,chinese cabbage,garlic,onion,carrot,,western
7430407,onion,onion,carrot,ginger,garlic,chinese
7156687,tomato,potato,,,,western
7585910,cucumber,cabbage,,,,chinese
6109830,radish,,,carrot,,japanese
6019210,sweet potato,,,,,western
5588812,radish,carrot,,,,japanese
7554110,tomato,,,,,japanese
1947441,eggplant,green onion,,,,japanese
7205601,onion,,,,,chinese
1999550,eggplant,,,,,western
7473168,radish,,,,,japanese
1592755,onion ,,,,,japanese
7462335,bean sprouts,,,,,chinese
5702995,garlic,,,,,western
2644395,onion ,corn,,,,japanese
7100394,corn,,,,,chinese
1603965,broccoli,tomato,,,,western
7441288,radish,onion,,,,japanese
4416525,broccoli,onion,garlic,,,western
4212121,onion ,ginger,,,,japanese
1534043,sweet potato,,,,,western
2037765,radish,green onion,,,,japanese
1890676,carrot,garlic,lettuce,tomato,,western
6843171,corn,cucumber,Edamame,Green perilla,ginger,chinese
4304516,sweet potato,,,,,japanese
306051,sweet potato,,,,,japanese
2736380,tomato,potato,onion,carrot,,western
7127770,cabbage,carrot,garlic,,,chinese
7320852,carrot,,,,,japanese
3714775,broccoli,cabbage,,,,western
7648943,bell pepper,,,,,japanese
7416132,chinese cabbage,ginger,,,,chinese
3073804,broccoli,,,,,western
7477055,carrot,cucumber,bean sprouts,,,chinese
1869788,asparagus,garlic,onion,,,western
605165,asparagus,,,,,chinese
7668009,cucumber,,,,,chinese
1591984,sweet potato,,,,,western
3012429,onion ,,,,,japanese
2815366,sweet potato,,,,,japanese
3259108,carrot,,,,,western
368649,lettuce,green onion,,,,japanese
1237266,eggplant,onion,carrot,bell pepper,garlic,western
3426772,onion ,green onion,garlic,tomato,,japanese
7321928,asparagus,,,,,chinese
537052,onion,tomato,lettuce,,,western
2403437,radish,,ginger,garlic,,chinese
2883086,tomato,potato,onion,carrot,,western
4856388,radish,,green onion,,,japanese
2808706,sweet potato,,,,,japanese
6642755,onion,,,,,western
7600669,eggplant,garlic,ginger,onion,,chinese
7573806,chinese cabbage,,bell pepper,carrot,,chinese
5030847,radish,,,,,japanese
4140125,asparagus,,,,,western
